#French	Source	Jula1	Note1	Jula2	Note2	Bambara	Note3	Note ID	tags
Souveraineté de dieu	Boyd	Ala ka masabaya						3221065537	
Royaume de dieu	Boyd	Ala ka masaya						-53020406468	
Serviteurs	Boyd	Batobagaw						-18949490395	
Lois principes	Boyd	Cifɔni						-26811574427	
Gloire	Boyd	Nɔɔrɔ						-53017885414	
Waa kɛmɛ ni bi segi ni looru	Boyd	185 000						-4632780310	
Fondé sur les ecritures	Yannick	A basiginen be bibulu kan						1527665647504	
Ce qu'elle nous réserve	Yannick	A be min mara an ye						1527665647505	
Ça ressemble à …	Yannick	A bɔnin be …ma						1527665647506	
Ça ressemble à quoi ?	Yannick	A bɔnin be mun le ma ?						1527665647507	
Qui est en droit de …	Yannick	A dagalen be jon ka …						1527665647508	
Tout au long de son ministère	Yannick	A ka cidenyabaara kuru bɛɛ la						1527665647509	
Son caractère généreux	Yannick	A ka sonni dusu						1527665647510	
Comment a-t-il réagi ?	Yannick	A kɔnna k'o koo ta cogo di?						1527665647511	
Cela ne consiste pas à ...	Yannick	A kɔrɔ tɛ ka…						1527665647512	
Sans jamais renoncer	Yannick	A ma sɔn k'a dabila abada						1527665647513	
Il y a plus de 2000 ans	Yannick	A saan 2000 ni kɔ ye nin ye						1527665647514	
Neutralité	Yannick	A te sen don politiki ko la						1527665647515	
Ne pas indisposer les gens inutilement	Yannick	A tɛ mɔgɔ kɔnɔ gwan gwansan						1527665647516	
Cette personne ne manifeste pas d'intérêt	Yannick	A tigi m'a mako don						1527665647517	
Rappelez aux proclamateurs	Yannick	A' ye weleweledalaw hakili jigi						1527665647518	
Compagnon de travail de dieu	Yannick	Ala ka baarakɛnyogon						1527665647519	
Envoyé de dieu	Boyd	Ala ka ciden						-53017499366	
Armure complète de dieu	Yannick	Ala ka kɛlɛkɛ minenw bɛɛ						1527665647521	
Représentant de dieu	Boyd	Ala ka lasigidenw						-7054004510	
Merveilleuses promesses divines	Yannick	Ala ka layidu cɛnyumanbaw koo						1527665647523	
Ecole du ministère théocratique	Yannick	Ala ka Mara cidenyabaara lakɔli						1527665647524	
Théocratie	Yannick	Ala ka mara cogo						1527665647525	
Souveraineté de dieu	Boyd	Ala ka masabaya						3221065537	
Royaume de dieu	Boyd	Ala ka masaya						-53020406468	
Royaume de dieu établi	Yannick	Ala ka masaya sigira sen kan						1527665647528	
Monde impie	Yannick	Ala ɲɛsiranbali duniɲa						1527665647529	
Volonté divine	Yannick	Ala sago						1527665647530	
Volonté de dieu	Yannick	Ala sagoya						1527665647531	
Instruction spirituelle	Yannick	Alakow kalan						1527665647532	
Nous savons parfaitement que	Yannick	An b'a lɔn ka gwɛ ko						1527665647533	
Nous oublions tout le temps	Yannick	An be ɲinɛ tuma o tuma						1527665647534	
Ceux qui nous observent	Yannick	An filɛbagaw						1527665647535	
Notre tenue bien arrangée	Yannick	An ka fani doncogo ɲuman						1527665647536	
Lors de la préparation d'un exposé	Yannick	An ka kalan labɛnto						1527665647537	
Adopter le bon point de vue	Yannick	An ka kɛ ni miiriya ɲuman ye						1527665647538	
